,loss_list,val_acc_list,train_acc_list,layer chunk 0,layer chunk 1,layer chunk 2,layer chunk 3,layer chunk 4,layer chunk 5
0,303.2409048676491,56.14,65.0,0.426578658672673,0.40963570019409046,0.4534301918071384,0.4381902092072456,0.5076324303533517,0.5227443642087232
1,157.74286204576492,72.97,71.25,0.3970169635307138,0.41000564630806197,0.481107471106384,0.42017821836097047,0.5517867147921711,0.4603046670771885
2,118.94494387507439,75.3,75.0,0.44627260612296615,0.4530760521128365,0.5470565423175787,0.5013444062119068,0.592309550701491,0.5531709491355513
3,95.50964507460594,78.11,77.5,0.45397619233246156,0.5272205528618227,0.4137247424378057,0.41302629805969676,0.5356609742501415,0.5409845247842885
4,78.1477258503437,79.62,88.75,0.47801028782506055,0.4661818796025291,0.5539032060202065,0.5002268543225729,0.48317108843301,0.4830671466291733
5,63.114453718066216,80.36,83.75,0.3933482693690439,0.474991838019981,0.5067241668812354,0.5348019576512085,0.5142089363833814,0.5031905568489442
6,50.50164192914963,81.07,88.75,0.47631601552410296,0.3516750949363993,0.5775309296761619,0.49037707990879814,0.5804255428806312,0.5539253244402335
7,39.307004645466805,81.64,95.0,0.280402491272095,0.5157889956663249,0.5345855825170266,0.46234636376855814,0.5714254264794635,0.5295620344537172
8,31.745692022144794,81.53,92.5,0.4552109050876412,0.5102802568299725,0.5041309581169513,0.5143170264197956,0.5888152803593811,0.689126767606625
9,25.897144503891468,82.0,87.5,0.41716731329030615,0.5234151588030077,0.5382391719214231,0.5054825177638097,0.5581555682909216,0.5308216253859304
10,21.249487549066544,83.13,95.0,0.4803661753554785,0.4853250355860072,0.5178125793474558,0.5429692130796854,0.4322674963662317,0.6175604224929034
11,16.797046542167664,83.63,98.75,0.39948122299639194,0.488896542874819,0.474088963836547,0.4074720671595028,0.5231041690655119,0.6622054895327775
12,12.463262386620045,83.09,98.75,0.4648623396379237,0.5239723017689385,0.6304844886796909,0.4644931009223405,0.566538057812057,0.5210887955527272
13,10.963994173333049,82.18,100.0,0.43559199367500895,0.46170858676264875,0.510192905122838,0.5418962942624481,0.5868618134453423,0.7104211514758234
14,10.146050261333585,83.71,98.75,0.41225968268064894,0.46594578398851905,0.40793966387777975,0.4451510934163453,0.5514640250591477,0.6008962991867561
